threshold,Channel 0_passes,Channel 1_passes,Channel 2_passes,Channel 0_dr,Channel 1_dr,Channel 2_dr
-1.0,5952754,2521614,3506076,19838704.302107327,8403766.476836447,11684676.542103915
-1.5,245308,157779,135286,817536.3663509939,525829.0408241617,450866.7669140858
-2.0,6083,9156,33993,20272.774294002214,30514.1412848733,113288.24865625799
-2.5,1241,1747,32507,4135.872579131473,5822.215467963483,108335.86618036003
-3.0,1121,1218,31555,3735.9493643887035,4059.2206296391087,105163.14201006739
-3.5,1054,1110,30826,3512.6589028239905,3699.2897363706165,102733.60848050506
-4.0,1018,1050,30203,3392.68193840116,3499.328128999232,100657.34045729885
-4.5,977,1002,29734,3256.0415066973806,3339.358843102124,99094.30722634586
-5.0,942,943,29422,3139.3972357307393,3142.729929186929,98054.50686801467
-5.5,915,898,29000,3049.414512413616,2992.7587236583904,96648.11022950259
-6.0,873,869,28558,2909.441387253647,2896.110613428888,95175.05972186672
-6.5,825,847,28067,2749.472101356539,2822.7913573927135,93538.70723487755
-7.0,780,824,27672,2599.500895828001,2746.1394079003494,92222.2933196826
-7.5,727,797,27155,2422.8681426499443,2656.1566845832263,90499.29080283252
-8.0,688,784,26506,2292.893097858544,2612.8316696527595,88336.37274976537
-8.5,642,765,25936,2139.589198873816,2549.5104939851544,86436.73747973722
-9.0,589,747,25490,1962.9564456957596,2489.522011773739,84950.35619827658
-9.5,536,729,24928,1786.323692517703,2429.5335295623236,83077.38247589795
-10.0,478,715,24341,1593.0274720586979,2382.875821175667,81121.09141711457
