fname,chisqr,gain,pv_r,sigma,pe_res
/mnt/d/PMT_TEST/2023-10-11_LED/NNVT_PN2305-1100_900v.xml,0.4698127105479092,"(1441363.6956373896, 242357.2209501555)",,"(0.930928938356149, 0.39625259897787735)","(-6.92622823551283, 9.943598459039361)"
/mnt/d/PMT_TEST/2023-10-11_LED/NNVT_PN2305-1100_950v.xml,0.03625558110217971,"(1064445.6095121165, 35982.190573623964)",2.0092637737688936,"(0.9473565924657782, 0.07097604393909786)","(2.888465243759653, 0.5805169508005218)"
/mnt/d/PMT_TEST/2023-10-11_LED/NNVT_PN2305-1100_1000v.xml,0.4203927109743848,"(1578520.2893633652, 139894.63713809184)",,"(1.0515839041095771, 0.2784581587947552)","(-4.1673953277167435, 3.3960502377223953)"
/mnt/d/PMT_TEST/2023-10-11_LED/NNVT_PN2305-1100_1050v.xml,0.01269600022089812,"(1649383.0485865097, 93591.32091507429)",,"(1.3618150684931547, 0.09303612959608619)","(3.9761739611074813, 1.032999284033561)"
/mnt/d/PMT_TEST/2023-10-11_LED/NNVT_PN2305-1100_1100v.xml,0.001200963545085277,"(2920825.6294619315, 58891.335624606305)",4.259176863181312,"(1.7373297303081978, 0.11745666794267061)","(14.052102203668785, 1.483376687446868)"
/mnt/d/PMT_TEST/2023-10-11_LED/NNVT_PN2305-1100_1150v.xml,0.0009365939548230208,"(3687463.370282194, 94547.51270160201)",5.378155461134716,"(2.1008337970890403, 0.22608863408067378)","(19.388845913888865, 3.172418632234135)"
/mnt/d/PMT_TEST/2023-10-11_LED/NNVT_PN2305-1100_1200v.xml,0.005403997078076211,"(5845149.016683138, 182754.26412952537)",3.520332717190388,"(5.355789806140229, 0.5405484454293331)","(22.58391917767664, 3.179009524408695)"
/mnt/d/PMT_TEST/2023-10-11_LED/NNVT_PN2305-1100_1250v.xml,0.001771942799937797,"(7467716.136101502, 920607.5175615998)",2.6235891647855527,"(6.786494006849289, 4.029702922540959)","(30.169850462142747, 49.19869617744143)"
/mnt/d/PMT_TEST/2023-10-11_LED/NNVT_PN2305-1100_1300v.xml,0.00028048276997971766,"(10123573.139868094, 450215.9648362555)",,"(8.588200984589, 2.317630283063754)","(47.95391064262511, 40.2101029010711)"
