fname,gain,gain_err
../../GainMeasurements/NNVT_PN2305-1100(New)_MPE-DarkBox_1150V.xml,3647449.36490962,21726.8517051981
../../GainMeasurements/NNVT_PN2305-1100(New)_MPE-DarkBox_1175V.xml,4324314.59132026,26392.6622323221
../../GainMeasurements/NNVT_PN2305-1100(New)_MPE-DarkBox_1200V.xml,5090725.10156984,31584.1514369945
../../GainMeasurements/NNVT_PN2305-1100(New)_MPE-DarkBox_1225V.xml,5960399.63953356,35634.2049086688
../../GainMeasurements/NNVT_PN2305-1100(New)_MPE-DarkBox_1250V.xml,6956912.30810583,40415.8569480083
../../GainMeasurements/NNVT_PN2305-1100(New)_MPE-DarkBox_1275V.xml,8135184.29419927,47763.822807422
../../GainMeasurements/NNVT_PN2305-1100(New)_MPE-DarkBox_1300V.xml,9433719.23171357,58664.6813619756
/media/robertkralik/LaCie/GainMeasurements/NNVT_PN2305-1100_MPE-Fridge_1300V.xml,9511532.37900806,65650.1534403305
/media/robertkralik/LaCie/GainMeasurements/NNVT_PN2305-1100_MPE-Fridge_1250V.xml,7054194.61537263,43935.985309505
/media/robertkralik/LaCie/GainMeasurements/NNVT_PN2305-1100_MPE-Fridge_1200V.xml,5127807.89527008,31220.7744202624
/media/robertkralik/LaCie/GainMeasurements/NNVT_PN2305-1100_MPE-Fridge_1150V.xml,3703394.34606668,23940.1426580597
/media/robertkralik/LaCie/GainMeasurements/NNVT_PN2305-1100_MPE-Fridge_1100V.xml,2648062.72599373,16595.8224286223
/media/robertkralik/LaCie/GainMeasurements/NNVT_PN2305-1100_MPE-Fridge_1050V.xml,1886841.70892916,11437.9883731234
/media/robertkralik/LaCie/GainMeasurements/NNVT_PN2305-1100_MPE-Fridge_1000V.xml,1322136.13207387,8150.71827106594
/media/robertkralik/LaCie/GainMeasurements/NNVT_PN2305-1100_MPE-Fridge_0950V.xml,946174.912367536,5622.07802239989
/media/robertkralik/LaCie/GainMeasurements/NNVT_PN2305-1100_MPE-Fridge_0900V.xml,657351.950410774,4524.31972647219
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPEMinusPed_1150V.xml,2344524.72357045,12752.0940610142
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPEMinusPed_1200V.xml,3185499.44852192,11813.6964897029
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPEMinusPed_1225V.xml,3747857.93138457,13896.6964979969
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPEMinusPed_1250V.xml,4337364.5864932,27582.8574677909
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPEMinusPed_1260V.xml,4618042.6103462,29689.9682208795
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPEMinusPed_1270V.xml,4902762.07974777,27729.7920470494
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPEMinusPed_1280V.xml,5185399.40629586,29974.2067440335
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPEMinusPed_1290V.xml,5489713.65705366,31853.0007594795
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPEMinusPed_1300V.xml,5787797.2037846,50488.2436718398
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPE_1150V.xml,2572589.84504829,12736.3518588673
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPE_1200V.xml,3425727.261159,11809.0243010374
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPE_1225V.xml,3976069.08150247,13893.3716051361
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPE_1250V.xml,4570085.37442921,27577.0348783226
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPE_1260V.xml,4846401.70372872,29684.7165643642
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPE_1270V.xml,5134050.42250458,27726.0078497685
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPE_1280V.xml,5416954.86623016,29970.9052639026
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPE_1290V.xml,5723190.86831333,31849.9673244446
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPE_1300V.xml,6022549.24880964,50483.8582459553
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPEMinusPed(LongGate)_1150V.xml,2930603.5248214,16283.7980587349
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPEMinusPed(LongGate)_1200V.xml,3871369.64317961,28391.1629109081
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPEMinusPed(LongGate)_1225V.xml,4550629.15405969,15834.5170857566
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPEMinusPed(LongGate)_1250V.xml,5226758.20561431,26599.2083750657
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPEMinusPed(LongGate)_1260V.xml,5634567.98680704,104936.447374389
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPEMinusPed(LongGate)_1270V.xml,5876692.75042969,32608.702631903
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPEMinusPed(LongGate)_1280V.xml,6209605.41621837,35274.4153408461
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPEMinusPed(LongGate)_1290V.xml,6555342.77143033,25545.4916539209
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPEMinusPed(LongGate)_1300V.xml,6915968.78726141,38940.3349990636
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPE(LongGate)_1150V.xml,3150349.0097931,16202.0308728869
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPE(LongGate)_1200V.xml,4078288.79676386,28375.0296133641
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPE(LongGate)_1225V.xml,4768370.94767294,15820.0734838123
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPE(LongGate)_1250V.xml,5454644.40487413,26586.0851154459
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPE(LongGate)_1260V.xml,5883928.06392849,104867.188651023
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPE(LongGate)_1270V.xml,6094198.70275545,32595.6989604227
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPE(LongGate)_1280V.xml,6427204.70128576,35261.9431897333
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPE(LongGate)_1290V.xml,6773548.70840615,25538.0152294852
../../SinglePEMeasurements/NNVT_PN2305-1100(New)_SPE(LongGate)_1300V.xml,7140451.51230744,38928.7040610168
../../data/2024-02-22_LED/NNVT_PN2305-1100_Original_900v.xml,1243834.15589001,281409.14523078
../../data/2024-02-22_LED/NNVT_PN2305-1100_Original_950v.xml,1459036.76746473,308372.624798602
../../data/2024-02-22_LED/NNVT_PN2305-1100_Original_1000v.xml,1113558.72233057,484998.165575948
../../data/2024-02-22_LED/NNVT_PN2305-1100_Original_1050v.xml,1290684.71377681,262694.034887446
../../data/2024-02-22_LED/NNVT_PN2305-1100_Original_1100v.xml,1703072.95175986,514561.845971524
../../data/2024-02-22_LED/NNVT_PN2305-1100_Original_1150v.xml,1988071.36854936,458584.431864058
../../data/2024-02-22_LED/NNVT_PN2305-1100_Original_1200v.xml,2822799.08575589,121574.030260941
../../data/2024-02-22_LED/NNVT_PN2305-1100_Original_1250v.xml,3356676.26063331,221511.574232303
../../data/2024-02-22_LED/NNVT_PN2305-1100_Original_1300v.xml,4063757.26631218,979997.140826479
